ticket_id,created_at,resolved_at,priority,category,channel,agent_id,region,status,resolution_hours,sla_target_hours,sla_breached,csat_score,num_replies,first_response_hours
TKT00001,2024-05-05 08:07:36,2024-05-05 20:35:48,Medium,Billing,Email,AGT009,Central,Resolved,12.47,24,False,5,1,1.26
TKT00002,2024-10-14 07:14:22,2024-10-23 17:26:22,Low,Returns,Social Media,AGT001,Central,Resolved,226.2,72,True,2,1,54.66
TKT00003,2024-05-22 05:39:39,2024-05-24 02:50:27,Low,Shipping,Social Media,AGT011,North,Resolved,45.18,72,False,2,6,27.32
TKT00004,2024-10-01 04:32:41,2024-10-01 13:00:53,High,Product Info,Phone,AGT015,Central,Resolved,8.47,8,True,3,2,0.46
TKT00005,2024-04-29 03:40:38,2024-05-01 05:13:02,Low,Account,Chat,AGT003,East,Resolved,49.54,72,False,5,11,13.3
TKT00006,2024-11-07 23:07:07,2024-11-08 00:30:31,Critical,Product Info,Social Media,AGT003,East,Escalated,1.39,2,False,3,11,0.99
TKT00007,2024-04-27 01:10:07,2024-05-04 06:35:19,Low,Account,Phone,AGT002,South,Resolved,173.42,72,True,1,7,63.71
TKT00008,2024-03-12 08:58:45,2024-03-16 02:17:57,Medium,Technical,Social Media,AGT009,Central,Resolved,89.32,24,True,3,4,23.94
TKT00009,2024-01-25 03:59:31,2024-01-26 21:07:19,Low,Shipping,Email,AGT003,West,Resolved,41.13,72,False,4,8,21.81
TKT00010,2024-12-15 19:33:01,2024-12-16 02:45:37,Critical,Billing,Phone,AGT004,West,Resolved,7.21,2,True,2,1,1.91
TKT00011,2024-04-01 18:29:02,2024-04-02 13:08:38,High,Account,Chat,AGT017,South,Resolved,18.66,8,True,2,3,4.36
TKT00012,2024-11-02 11:48:07,2024-11-02 15:40:19,High,Returns,Phone,AGT001,South,Resolved,3.87,8,False,4,10,3.67
TKT00013,2024-09-29 04:34:43,2024-10-01 18:34:43,Low,Shipping,Phone,AGT003,Central,Closed,62.0,72,False,4,7,59.79
TKT00014,2024-12-31 11:20:57,2024-12-31 14:25:45,High,Product Info,Social Media,AGT007,North,Resolved,3.08,8,False,4,2,1.11
TKT00015,2024-04-22 00:15:42,2024-04-23 02:59:30,Medium,Technical,Email,AGT019,East,Resolved,26.73,24,True,1,4,6.76
TKT00016,2024-10-19 20:58:45,2024-10-20 17:49:09,Medium,Returns,Chat,AGT005,North,Resolved,20.84,24,False,5,7,7.45
TKT00017,2024-12-10 23:47:29,2024-12-12 06:15:41,Medium,Product Info,Phone,AGT002,North,Resolved,30.47,24,True,2,4,12.92
TKT00018,2024-08-24 09:05:42,2024-08-30 17:45:18,Low,Technical,Email,AGT009,North,Resolved,152.66,72,True,4,9,60.21
TKT00019,2024-07-27 17:40:53,2024-07-27 19:48:41,Critical,Technical,Chat,AGT006,West,Resolved,2.13,2,True,4,7,0.6
TKT00020,2024-08-04 20:14:05,2024-08-05 03:06:17,High,Shipping,Chat,AGT010,North,Resolved,6.87,8,False,3,9,0.51
TKT00021,2024-09-01 18:18:29,2024-09-09 14:43:05,Low,Billing,Email,AGT019,South,Resolved,188.41,72,True,1,2,48.65
TKT00022,2024-05-06 21:04:40,2024-05-09 12:32:52,Low,Billing,Phone,AGT019,East,Resolved,63.47,72,False,4,12,20.01
TKT00023,2024-08-22 11:30:41,2024-09-07 20:42:05,Low,Technical,Email,AGT010,North,Resolved,393.19,72,True,1,9,19.17
TKT00024,2024-07-08 10:22:33,2024-07-08 13:11:09,Critical,Billing,Email,AGT008,Central,Resolved,2.81,2,True,3,11,0.3
TKT00025,2024-02-24 20:08:32,2024-02-25 00:14:32,High,Account,Phone,AGT004,South,Resolved,4.1,8,False,3,5,2.12
TKT00026,2024-11-20 15:25:18,2024-11-25 21:36:06,Low,Billing,Chat,AGT003,East,Resolved,126.18,72,True,2,8,39.77
TKT00027,2024-02-08 05:25:36,2024-02-09 10:02:12,Medium,Billing,Chat,AGT004,West,Resolved,28.61,24,True,3,5,8.82
TKT00028,2024-04-17 09:05:06,2024-04-17 10:57:54,Critical,Billing,Social Media,AGT012,Central,Closed,1.88,2,False,4,4,1.64
TKT00029,2024-01-13 06:31:49,2024-01-13 10:57:37,Critical,Technical,Chat,AGT014,East,Resolved,4.43,2,True,4,12,0.31
TKT00030,2024-04-12 16:45:32,2024-04-13 02:58:44,High,Shipping,Chat,AGT008,North,Resolved,10.22,8,True,4,7,2.69
TKT00031,2024-11-24 18:32:48,2024-11-25 04:31:00,High,Account,Email,AGT012,North,Closed,9.97,8,True,2,5,1.51
TKT00032,2024-02-25 21:43:13,2024-02-25 23:45:01,Critical,Account,Email,AGT002,West,Closed,2.03,2,True,2,4,0.58
TKT00033,2024-10-02 07:10:25,2024-10-02 16:33:49,Medium,Billing,Phone,AGT017,Central,Resolved,9.39,24,False,4,2,6.79
TKT00034,2024-06-16 14:39:03,2024-06-18 03:52:15,Low,Account,Social Media,AGT014,South,Resolved,37.22,72,False,3,5,15.17
TKT00035,2024-04-17 15:39:06,2024-04-18 12:00:42,High,Account,Social Media,AGT010,West,Resolved,20.36,8,True,2,9,3.84
TKT00036,2024-12-03 03:05:14,2024-12-03 06:28:02,High,Product Info,Email,AGT006,South,Resolved,3.38,8,False,4,4,2.75
TKT00037,2024-08-31 22:15:20,2024-09-06 21:42:56,Low,Billing,Chat,AGT008,West,Resolved,143.46,72,True,2,4,10.71
TKT00038,2024-04-22 06:24:13,2024-04-24 18:42:13,Medium,Billing,Chat,AGT014,North,Resolved,60.3,24,True,2,8,16.06
TKT00039,2024-08-14 22:18:21,2024-08-15 03:30:21,Critical,Returns,Social Media,AGT011,South,Closed,5.2,2,True,2,8,0.96
TKT00040,2024-09-23 17:38:37,2024-09-23 20:48:13,High,Product Info,Phone,AGT009,South,Resolved,3.16,8,False,2,6,2.83
TKT00041,2024-07-15 05:33:48,2024-07-22 14:21:48,Low,Technical,Social Media,AGT008,West,Resolved,176.8,72,True,2,7,28.1
TKT00042,2024-10-21 13:50:57,2024-10-21 18:57:33,High,Product Info,Social Media,AGT001,West,Resolved,5.11,8,False,3,12,2.84
TKT00043,2024-04-22 09:56:14,2024-04-22 19:39:26,Medium,Technical,Social Media,AGT016,South,Closed,9.72,24,False,3,3,9.53
TKT00044,2024-10-15 00:59:12,2024-10-15 16:57:24,Medium,Shipping,Chat,AGT019,North,Resolved,15.97,24,False,5,6,3.46
TKT00045,2024-08-03 09:11:05,2024-08-11 01:09:53,Low,Shipping,Email,AGT009,East,Resolved,183.98,72,True,3,2,56.27
TKT00046,2024-04-12 00:44:31,2024-04-12 19:00:07,Medium,Billing,Email,AGT008,Central,Escalated,18.26,24,False,4,8,12.8
TKT00047,2024-11-06 04:10:12,2024-11-06 19:30:00,High,Technical,Email,AGT020,East,Resolved,15.33,8,True,2,7,3.23
TKT00048,2024-12-19 22:50:13,2024-12-20 21:31:01,Medium,Billing,Email,AGT019,Central,Closed,22.68,24,False,3,6,12.13
TKT00049,2024-11-27 12:25:25,2024-11-28 03:59:37,Medium,Billing,Social Media,AGT017,East,Resolved,15.57,24,False,4,8,11.04
TKT00050,2024-11-29 09:50:00,2024-11-30 00:03:48,Medium,Product Info,Social Media,AGT017,West,Closed,14.23,24,False,5,10,3.89
TKT00051,2024-08-18 08:52:43,2024-08-19 09:22:43,High,Billing,Phone,AGT009,North,Resolved,24.5,8,True,3,6,1.54
TKT00052,2024-05-23 21:42:19,2024-05-26 23:27:55,Low,Account,Chat,AGT011,North,Resolved,73.76,72,True,1,7,35.23
TKT00053,2024-11-26 17:52:12,2024-11-26 19:21:00,High,Product Info,Social Media,AGT016,South,Resolved,1.48,8,False,3,10,0.61
TKT00054,2024-10-08 12:02:37,2024-10-08 23:13:25,Medium,Account,Chat,AGT014,North,Closed,11.18,24,False,3,6,1.42
TKT00055,2024-04-08 07:52:41,2024-04-09 05:53:53,Medium,Product Info,Phone,AGT006,North,Closed,22.02,24,False,4,5,5.09
TKT00056,2024-03-05 09:59:14,2024-03-06 18:26:14,Low,Billing,Chat,AGT018,West,Resolved,32.45,72,False,3,1,18.67
TKT00057,2024-04-04 01:52:14,2024-04-04 18:08:26,Medium,Shipping,Email,AGT011,West,Resolved,16.27,24,False,2,10,10.28
TKT00058,2024-06-04 03:06:04,2024-06-10 03:45:04,Low,Technical,Chat,AGT019,Central,Resolved,144.65,72,True,3,8,21.48
TKT00059,2024-10-18 22:36:39,2024-10-20 05:30:39,Medium,Shipping,Chat,AGT010,South,Resolved,30.9,24,True,1,2,3.85
TKT00060,2024-01-02 14:52:25,2024-01-04 15:45:13,Low,Billing,Chat,AGT006,East,Closed,48.88,72,False,3,12,42.03
TKT00061,2024-11-16 21:28:24,2024-11-21 17:08:00,Low,Technical,Chat,AGT009,South,Escalated,115.66,72,True,2,3,5.23
TKT00062,2024-10-18 10:30:28,2024-10-19 23:04:04,Low,Account,Social Media,AGT020,East,Resolved,36.56,72,False,3,8,16.06
TKT00063,2024-11-05 09:06:56,2024-11-05 17:36:20,Medium,Shipping,Email,AGT011,East,Resolved,8.49,24,False,4,3,4.05
TKT00064,2024-10-26 15:52:12,2024-10-27 02:54:36,Medium,Account,Phone,AGT006,West,Resolved,11.04,24,False,2,11,1.24
TKT00065,2024-05-27 14:34:48,2024-06-02 12:55:48,Low,Shipping,Phone,AGT016,East,Resolved,142.35,72,True,2,7,62.29
TKT00066,2024-08-24 15:02:45,2024-08-24 21:53:45,High,Billing,Social Media,AGT018,West,Closed,6.85,8,False,4,4,1.9
TKT00067,2024-12-23 17:38:52,2024-12-25 20:44:16,Low,Account,Chat,AGT015,South,Resolved,51.09,72,False,4,1,28.26
TKT00068,2024-03-01 23:34:56,2024-03-08 03:16:20,Low,Billing,Phone,AGT015,West,Closed,147.69,72,True,3,8,17.62
TKT00069,2024-11-02 18:30:16,2024-11-03 20:26:40,Medium,Shipping,Social Media,AGT007,East,Escalated,25.94,24,True,1,9,6.49
TKT00070,2024-10-27 21:06:51,2024-11-02 05:05:03,Low,Product Info,Social Media,AGT010,East,Resolved,127.97,72,True,1,9,27.22
